Date,Open,High,Low,Close,Adj Close,Volume
2022-02-05,1.552626,1.577379,1.540390,1.557593,1.557593,48424633
2022-02-06,1.557691,1.582134,1.545478,1.581903,1.581903,39000983
2022-02-07,1.581765,1.638640,1.563907,1.626744,1.626744,53410968
2022-02-08,1.626763,1.639358,1.557271,1.584772,1.584772,57373966
2022-02-09,1.584696,1.632172,1.571559,1.617199,1.617199,50113031
2022-02-10,1.616993,1.658053,1.587754,1.592473,1.592473,70930992
2022-02-11,1.592467,1.635479,1.559474,1.572697,1.572697,73306991
2022-02-12,1.572668,1.591209,1.565427,1.577421,1.577421,45191689
2022-02-13,1.577439,1.591403,1.561322,1.576117,1.576117,34044181
2022-02-14,1.575947,1.576354,1.552665,1.568878,1.568878,40309061
2022-02-15,1.568727,1.689835,1.564004,1.687217,1.687217,80595472
2022-02-16,1.687198,1.785934,1.669154,1.764599,1.764599,104988160
2022-02-17,1.764464,1.772569,1.605214,1.625838,1.625838,73733359
2022-02-18,1.626044,1.661198,1.562733,1.581730,1.581730,64032396
2022-02-19,1.581733,1.598024,1.541235,1.548258,1.548258,46197705
2022-02-20,1.548260,1.548926,1.454105,1.469187,1.469187,39420657
2022-02-21,1.469100,1.503652,1.419106,1.421852,1.421852,59374734
2022-02-22,1.421822,1.435483,1.385403,1.417159,1.417159,103575858
2022-02-23,1.417142,1.439721,1.358407,1.358629,1.358629,60072178
2022-02-24,1.358566,1.358566,1.138641,1.235866,1.235866,111844026
2022-02-25,1.235931,1.266614,1.205298,1.256313,1.256313,57127284
2022-02-26,1.256294,1.279041,1.245433,1.248518,1.248518,36901381
2022-02-27,1.248595,1.255056,1.160213,1.176400,1.176400,33689735
2022-02-28,1.176291,1.262128,1.162160,1.261978,1.261978,47022871
2022-03-01,1.262019,1.282696,1.236038,1.249675,1.249675,48692407
2022-03-02,1.249674,1.261504,1.229575,1.238222,1.238222,34126710
2022-03-03,1.238262,1.241181,1.206515,1.219171,1.219171,33779596
2022-03-04,1.219156,1.219329,1.112823,1.126895,1.126895,46489800
2022-03-05,1.126895,1.145362,1.121773,1.140284,1.140284,25464286
2022-03-06,1.140297,1.140997,1.110051,1.112812,1.112812,25308350
2022-03-07,1.112842,1.113888,1.044802,1.057497,1.057497,48319009
2022-03-08,1.057497,1.096605,1.049080,1.082729,1.082729,45470408
2022-03-09,1.082879,1.149484,1.082879,1.134979,1.134979,53592275
2022-03-10,1.134956,1.134956,1.072906,1.094211,1.094211,47951004
2022-03-11,1.094250,1.122088,1.066214,1.076398,1.076398,43703319
2022-03-12,1.076372,1.097456,1.075060,1.082209,1.082209,24748254
2022-03-13,1.082130,1.092784,1.064175,1.066397,1.066397,28011496
2022-03-14,1.066429,1.091267,1.061486,1.082693,1.082693,41515667
2022-03-15,1.082683,1.106520,1.064845,1.101088,1.101088,33997555
2022-03-16,1.101074,1.131017,1.079034,1.129642,1.129642,57924200
2022-03-17,1.129643,1.135597,1.117500,1.127794,1.127794,39675876
